invoice#,date,country,product_id,shop,gender,size_us,size_europe,size_uk,unit_price,discount,year,month,sale_price
52415,05-01-2014,Canada,2169,CAN3,Female,8,38-39,6,129.00,0%,2014,1,129.00
52416,05-01-2014,Germany,2235,GER1,Male,10.5,43-44,10,169.00,50%,2014,1,84.50
52417,05-01-2014,United States,2154,US15,Male,11,44,10.5,189.00,0%,2014,1,189.00
52418,05-01-2014,United States,2152,US15,Male,8,41,7.5,139.00,0%,2014,1,139.00
52419,06-01-2014,Canada,2154,CAN3,Male,10.5,43-44,10,179.00,0%,2014,1,179.00
52420,06-01-2014,Germany,2154,GER1,Male,10,43,9.5,199.00,0%,2014,1,199.00
52421,06-01-2014,Germany,2206,GER2,Male,8.5,41-42,8,149.00,20%,2014,1,119.20
52421,06-01-2014,Germany,2235,GER1,Male,10.5,43-44,10,169.00,50%,2014,1,84.50
52422,06-01-2014,United States,2213,US7,Female,8,38-39,6,139.00,0%,2014,1,139.00
52423,06-01-2014,United States,2225,US15,Male,10,43,9.5,199.00,30%,2014,1,139.30
52424,06-01-2014,Canada,2150,CAN2,Female,9,39-40,7,139.00,20%,2014,1,111.20
52425,07-01-2014,Canada,2160,CAN7,Male,9.5,42-43,9,149.00,20%,2014,1,119.20
52426,07-01-2014,United Kingdom,2167,UK2,Female,8,38-39,6,199.00,0%,2014,1,199.00
52427,07-01-2014,Germany,2242,GER2,Female,7,37-38,5,189.00,10%,2014,1,170.10
52428,07-01-2014,United States,2173,US15,Male,10.5,43-44,10,159.00,0%,2014,1,159.00
52429,07-01-2014,Germany,2239,GER1,Female,9.5,40,7.5,159.00,50%,2014,1,79.50
52430,07-01-2014,United Kingdom,2168,UK1,Male,10,43,9.5,159.00,10%,2014,1,143.10
52431,07-01-2014,United States,2204,US13,Male,9.5,42-43,9,129.00,10%,2014,1,116.10
52432,08-01-2014,Canada,2238,CAN5,Male,10,43,9.5,169.00,0%,2014,1,169.00
52433,08-01-2014,Canada,2154,CAN3,Male,10.5,43-44,10,179.00,0%,2014,1,179.00
52434,08-01-2014,Germany,2238,GER2,Female,9.5,40,7.5,189.00,0%,2014,1,189.00
52435,08-01-2014,United Kingdom,2229,UK4,Male,7,40,6.5,169.00,0%,2014,1,169.00
52436,08-01-2014,Germany,2225,GER2,Male,9.5,42-43,9,179.00,10%,2014,1,161.10
52437,08-01-2014,United States,2207,US13,Male,12,45,11.5,169.00,0%,2014,1,169.00
52438,09-01-2014,United States,2168,US15,Male,11,44,10.5,139.00,10%,2014,1,125.10
52439,09-01-2014,Canada,2160,CAN7,Male,9.5,42-43,9,149.00,20%,2014,1,119.20
52440,09-01-2014,Germany,2195,GER2,Male,9,42,8.5,189.00,0%,2014,1,189.00
52441,09-01-2014,United States,2191,US15,Female,8.5,39,6.5,189.00,50%,2014,1,94.50
52442,09-01-2014,Canada,2217,CAN3,Female,9,39-40,7,149.00,0%,2014,1,149.00
52443,10-01-2014,United States,2195,US7,Female,8,38-39,6,129.00,10%,2014,1,116.10
52444,10-01-2014,Germany,2157,GER2,Male,12,45,11.5,149.00,20%,2014,1,119.20
52445,10-01-2014,United States,2176,US5,Female,8,38-39,6,129.00,0%,2014,1,129.00
52446,10-01-2014,Germany,2185,GER1,Male,8,41,7.5,179.00,0%,2014,1,179.00
52447,10-01-2014,Canada,2213,CAN6,Female,8,38-39,6,139.00,0%,2014,1,139.00
52448,10-01-2014,Canada,2150,CAN2,Female,9,39-40,7,139.00,20%,2014,1,111.20
52449,11-01-2014,United States,2154,US15,Male,11,44,10.5,189.00,0%,2014,1,189.00
52450,11-01-2014,United States,2230,US15,Female,8,38-39,6,129.00,0%,2014,1,129.00
52450,11-01-2014,United States,2207,US1,Female,8,38-39,6,199.00,10%,2014,1,179.10
52451,11-01-2014,United Kingdom,2167,UK2,Female,8.5,39,6.5,149.00,0%,2014,1,149.00
52452,11-01-2014,Germany,2225,GER2,Male,9.5,42-43,9,179.00,10%,2014,1,161.10
52453,11-01-2014,United Kingdom,2168,UK1,Male,10,43,9.5,159.00,10%,2014,1,143.10
52454,12-01-2014,United States,2159,US15,Female,8,38-39,6,179.00,50%,2014,1,89.50
52454,12-01-2014,United States,2168,US15,Male,11,44,10.5,139.00,10%,2014,1,125.10
52455,12-01-2014,Canada,2204,CAN1,Male,9,42,8.5,199.00,0%,2014,1,199.00
52456,12-01-2014,United States,2206,US12,Male,10,43,9.5,149.00,30%,2014,1,104.30
52457,12-01-2014,Germany,2195,GER2,Male,9,42,8.5,189.00,0%,2014,1,189.00
52458,13-01-2014,United States,2231,US9,Female,7.5,38,5.5,169.00,10%,2014,1,152.10
52459,13-01-2014,Canada,2172,CAN6,Female,8,38-39,6,149.00,20%,2014,1,119.20
52460,13-01-2014,Canada,2226,CAN6,Male,12,45,11.5,129.00,20%,2014,1,103.20
52461,13-01-2014,United States,2232,US4,Female,7.5,38,5.5,169.00,0%,2014,1,169.00
52461,13-01-2014,United States,2230,US14,Female,9,39-40,7,179.00,0%,2014,1,179.00
52461,13-01-2014,United States,2169,US3,Female,10,40-41,8,169.00,30%,2014,1,118.30
52462,13-01-2014,United Kingdom,2182,UK3,Female,8.5,39,6.5,129.00,0%,2014,1,129.00
52463,14-01-2014,Germany,2191,GER3,Male,10,43,9.5,149.00,0%,2014,1,149.00
52464,14-01-2014,Canada,2213,CAN6,Female,8,38-39,6,139.00,0%,2014,1,139.00
52465,14-01-2014,Germany,2199,GER2,Male,11.5,44-45,11,189.00,0%,2014,1,189.00
52466,14-01-2014,United States,2159,US15,Female,6,36-37,4,199.00,10%,2014,1,179.10
52467,14-01-2014,United States,2210,US2,Female,7.5,38,5.5,189.00,0%,2014,1,189.00
52467,14-01-2014,United States,2194,US13,Female,9,39-40,7,179.00,0%,2014,1,179.00
52467,14-01-2014,United States,2169,US14,Male,10.5,43-44,10,139.00,0%,2014,1,139.00
52468,15-01-2014,United States,2192,US3,Female,7.5,38,5.5,169.00,0%,2014,1,169.00
52469,15-01-2014,Germany,2225,GER2,Male,9.5,42-43,9,179.00,10%,2014,1,161.10
52470,15-01-2014,Canada,2178,CAN5,Male,9.5,42-43,9,139.00,10%,2014,1,125.10
52471,15-01-2014,United States,2152,US15,Female,7.5,38,5.5,149.00,30%,2014,1,104.30
52472,15-01-2014,United States,2231,US9,Female,7.5,38,5.5,169.00,10%,2014,1,152.10
52472,15-01-2014,United States,2222,US1,Female,9,39-40,7,139.00,10%,2014,1,125.10
52472,15-01-2014,United States,2202,US14,Female,10,40-41,8,129.00,30%,2014,1,90.30
52473,16-01-2014,Canada,2213,CAN2,Male,8.5,41-42,8,169.00,50%,2014,1,84.50
52474,16-01-2014,United States,2204,US6,Female,7.5,38,5.5,169.00,0%,2014,1,169.00
52474,16-01-2014,United States,2161,US15,Male,10,43,9.5,139.00,0%,2014,1,139.00
52474,16-01-2014,United States,2233,US1,Female,9.5,40,7.5,149.00,30%,2014,1,104.30
52475,16-01-2014,Germany,2242,GER2,Female,7,37-38,5,189.00,10%,2014,1,170.10
52476,16-01-2014,United States,2194,US15,Female,7.5,38,5.5,129.00,0%,2014,1,129.00
52477,17-01-2014,Canada,2177,CAN6,Male,11,44,10.5,169.00,0%,2014,1,169.00
52478,17-01-2014,Canada,2220,CAN6,Male,9.5,42-43,9,169.00,0%,2014,1,169.00
52479,17-01-2014,United States,2177,US5,Female,7.5,38,5.5,159.00,20%,2014,1,127.20
52479,17-01-2014,United States,2163,US9,Female,9.5,40,7.5,129.00,10%,2014,1,116.10
52480,17-01-2014,United States,2232,US4,Female,7.5,38,5.5,169.00,0%,2014,1,169.00
52480,17-01-2014,United States,2163,US14,Female,9.5,40,7.5,169.00,0%,2014,1,169.00
52480,17-01-2014,United States,2150,US8,Male,9.5,42-43,9,199.00,0%,2014,1,199.00
52481,17-01-2014,Canada,2154,CAN3,Male,10.5,43-44,10,179.00,0%,2014,1,179.00
52482,17-01-2014,United States,2177,US15,Male,14,47,13.5,159.00,10%,2014,1,143.10
52483,18-01-2014,Canada,2241,CAN5,Male,9.5,42-43,9,139.00,20%,2014,1,111.20
52484,18-01-2014,United Kingdom,2221,UK2,Female,6.5,37,4.5,159.00,20%,2014,1,127.20
52485,18-01-2014,United States,2204,US6,Female,7.5,38,5.5,169.00,0%,2014,1,169.00
52485,18-01-2014,United States,2233,US1,Female,9.5,40,7.5,149.00,30%,2014,1,104.30
52486,18-01-2014,United States,2210,US2,Female,7.5,38,5.5,189.00,0%,2014,1,189.00
52486,18-01-2014,United States,2191,US9,Male,10.5,43-44,10,199.00,0%,2014,1,199.00
52486,18-01-2014,United States,2161,US15,Male,10,43,9.5,139.00,0%,2014,1,139.00
52487,18-01-2014,United States,2154,US15,Female,8,38-39,6,139.00,30%,2014,1,97.30
52488,18-01-2014,Canada,2211,CAN7,Female,8.5,39,6.5,149.00,0%,2014,1,149.00
52489,18-01-2014,Germany,2151,GER2,Male,6,39,5.5,199.00,0%,2014,1,199.00
52490,19-01-2014,United States,2235,US15,Female,9.5,40,7.5,139.00,0%,2014,1,139.00
52491,19-01-2014,Germany,2214,GER3,Male,10.5,43-44,10,139.00,0%,2014,1,139.00
52492,19-01-2014,Germany,2209,GER3,Female,7.5,38,5.5,169.00,20%,2014,1,135.20
52493,19-01-2014,United States,2232,US4,Female,7.5,38,5.5,169.00,0%,2014,1,169.00
52493,19-01-2014,United States,2150,US8,Male,9.5,42-43,9,199.00,0%,2014,1,199.00
52494,19-01-2014,United Kingdom,2202,UK4,Male,9,42,8.5,199.00,0%,2014,1,199.00
52495,19-01-2014,Germany,2185,GER1,Male,8,41,7.5,179.00,0%,2014,1,179.00
52496,19-01-2014,Canada,2156,CAN6,Male,9,42,8.5,189.00,0%,2014,1,189.00
52496,19-01-2014,Canada,2189,CAN7,Male,11,44,10.5,129.00,30%,2014,1,90.30
52497,19-01-2014,Canada,2236,CAN7,Female,8.5,39,6.5,129.00,0%,2014,1,129.00
52498,19-01-2014,Germany,2189,GER2,Female,7.5,38,5.5,139.00,50%,2014,1,69.50
52499,20-01-2014,United States,2180,US15,Female,8,38-39,6,149.00,0%,2014,1,149.00
52499,20-01-2014,United States,2204,US15,Female,9.5,40,7.5,169.00,10%,2014,1,152.10
52500,20-01-2014,United Kingdom,2154,UK2,Male,9.5,42-43,9,139.00,0%,2014,1,139.00
52501,20-01-2014,Germany,2192,GER1,Male,11,44,10.5,199.00,0%,2014,1,199.00
52502,20-01-2014,United States,2230,US15,Female,8,38-39,6,129.00,0%,2014,1,129.00
52503,20-01-2014,Canada,2185,CAN7,Male,7.5,40-41,7,169.00,0%,2014,1,169.00
52503,20-01-2014,Canada,2156,CAN6,Male,9,42,8.5,189.00,0%,2014,1,189.00
52504,20-01-2014,Germany,2180,GER3,Female,7.5,38,5.5,139.00,0%,2014,1,139.00
52505,21-01-2014,United States,2154,US15,Female,8,38-39,6,139.00,30%,2014,1,97.30
52505,21-01-2014,United States,2214,US15,Female,9.5,40,7.5,149.00,50%,2014,1,74.50
52506,21-01-2014,Germany,2238,GER1,Male,11.5,44-45,11,129.00,10%,2014,1,116.10
52507,21-01-2014,Germany,2151,GER1,Male,9.5,42-43,9,149.00,20%,2014,1,119.20
52508,21-01-2014,United Kingdom,2222,UK4,Female,9,39-40,7,159.00,0%,2014,1,159.00
52509,21-01-2014,United States,2177,US5,Female,7.5,38,5.5,159.00,20%,2014,1,127.20
52510,21-01-2014,Canada,2178,CAN5,Male,9.5,42-43,9,139.00,10%,2014,1,125.10
52510,21-01-2014,Canada,2185,CAN7,Male,7.5,40-41,7,169.00,0%,2014,1,169.00
52511,22-01-2014,Germany,2199,GER2,Male,11.5,44-45,11,189.00,0%,2014,1,189.00
52512,22-01-2014,Germany,2200,GER2,Female,7,37-38,5,129.00,0%,2014,1,129.00
52513,22-01-2014,United States,2183,US4,Female,8,38-39,6,149.00,0%,2014,1,149.00
52514,22-01-2014,United States,2175,US15,Male,9,42,8.5,179.00,50%,2014,1,89.50
52515,22-01-2014,United States,2204,US6,Female,7.5,38,5.5,169.00,0%,2014,1,169.00
52516,23-01-2014,United States,2152,US15,Female,7.5,38,5.5,149.00,30%,2014,1,104.30
52517,23-01-2014,Canada,2189,CAN7,Male,11,44,10.5,129.00,30%,2014,1,90.30
52518,23-01-2014,United States,2163,US12,Female,8,38-39,6,149.00,0%,2014,1,149.00
52519,23-01-2014,United States,2172,US13,Male,10.5,43-44,10,129.00,20%,2014,1,103.20
52520,23-01-2014,Germany,2191,GER2,Male,9.5,42-43,9,199.00,30%,2014,1,139.30
52521,23-01-2014,United States,2213,US6,Male,11.5,44-45,11,179.00,30%,2014,1,125.30
52522,23-01-2014,United States,2173,US7,Female,9.5,40,7.5,199.00,0%,2014,1,199.00
52522,23-01-2014,United States,2190,US13,Female,9.5,40,7.5,169.00,30%,2014,1,118.30
52523,24-01-2014,Germany,2233,GER3,Male,9.5,42-43,9,179.00,0%,2014,1,179.00
52524,24-01-2014,Canada,2156,CAN6,Male,9,42,8.5,189.00,0%,2014,1,189.00
52525,24-01-2014,United States,2158,US13,Male,10.5,43-44,10,159.00,20%,2014,1,127.20
52526,24-01-2014,United States,2219,US13,Male,10.5,43-44,10,139.00,0%,2014,1,139.00
52527,24-01-2014,Canada,2227,CAN1,Female,8,38-39,6,179.00,30%,2014,1,125.30
52528,24-01-2014,United States,2211,US6,Male,9.5,42-43,9,189.00,0%,2014,1,189.00
52529,24-01-2014,United States,2164,US5,Female,8,38-39,6,149.00,0%,2014,1,149.00
52530,24-01-2014,United States,2175,US15,Male,9,42,8.5,179.00,50%,2014,1,89.50
52530,24-01-2014,United States,2173,US7,Female,9.5,40,7.5,199.00,0%,2014,1,199.00
52531,25-01-2014,United Kingdom,2169,UK4,Female,7.5,38,5.5,189.00,20%,2014,1,151.20
52532,25-01-2014,Canada,2217,CAN5,Male,7,40,6.5,199.00,0%,2014,1,199.00
52533,25-01-2014,Canada,2151,CAN5,Female,9,39-40,7,129.00,50%,2014,1,64.50
52534,25-01-2014,United States,2235,US13,Male,8.5,41-42,8,169.00,30%,2014,1,118.30
52535,25-01-2014,Germany,2169,GER1,Male,9.5,42-43,9,129.00,0%,2014,1,129.00
52535,25-01-2014,Germany,2197,GER1,Female,8.5,39,6.5,179.00,20%,2014,1,143.20
52536,25-01-2014,Germany,2151,GER1,Male,9.5,42-43,9,149.00,20%,2014,1,119.20
52537,25-01-2014,United States,2203,US8,Female,8,38-39,6,179.00,50%,2014,1,89.50
52538,25-01-2014,United States,2213,US6,Male,11.5,44-45,11,179.00,30%,2014,1,125.30
52538,25-01-2014,United States,2175,US15,Male,9,42,8.5,179.00,50%,2014,1,89.50
52539,26-01-2014,United Kingdom,2227,UK1,Female,7.5,38,5.5,129.00,50%,2014,1,64.50
52540,26-01-2014,Germany,2200,GER2,Female,7,37-38,5,129.00,0%,2014,1,129.00
52541,26-01-2014,Canada,2154,CAN6,Female,9,39-40,7,129.00,0%,2014,1,129.00
52542,26-01-2014,United States,2147,US15,Female,8.5,39,6.5,189.00,0%,2014,1,189.00
52543,26-01-2014,United States,2183,US4,Female,8,38-39,6,149.00,0%,2014,1,149.00
52544,26-01-2014,United Kingdom,2158,UK4,Female,6,36-37,4,189.00,0%,2014,1,189.00
52545,26-01-2014,United States,2226,US8,Female,8,38-39,6,199.00,30%,2014,1,139.30
52546,26-01-2014,Germany,2227,GER1,Female,9,39-40,7,149.00,10%,2014,1,134.10
52547,27-01-2014,Canada,2189,CAN7,Male,11,44,10.5,129.00,30%,2014,1,90.30
52548,27-01-2014,United Kingdom,2224,UK3,Male,8.5,41-42,8,129.00,50%,2014,1,64.50
52549,27-01-2014,Canada,2198,CAN5,Male,9,42,8.5,169.00,30%,2014,1,118.30
52550,27-01-2014,Germany,2201,GER1,Male,10,43,9.5,149.00,0%,2014,1,149.00
52551,27-01-2014,United States,2164,US5,Female,8,38-39,6,149.00,0%,2014,1,149.00
52552,27-01-2014,Germany,2189,GER3,Female,9,39-40,7,149.00,30%,2014,1,104.30
52553,28-01-2014,Germany,2219,GER3,Male,10.5,43-44,10,179.00,30%,2014,1,125.30
52554,28-01-2014,United Kingdom,2224,UK3,Female,6,36-37,4,129.00,0%,2014,1,129.00
52555,28-01-2014,Germany,2233,GER3,Male,9.5,42-43,9,179.00,0%,2014,1,179.00
52556,28-01-2014,Germany,2210,GER3,Female,9,39-40,7,169.00,50%,2014,1,84.50
52557,29-01-2014,United States,2231,US5,Male,10,43,9.5,159.00,10%,2014,1,143.10
52558,29-01-2014,Canada,2220,CAN5,Female,8,38-39,6,169.00,0%,2014,1,169.00
52559,29-01-2014,United Kingdom,2169,UK4,Female,7.5,38,5.5,189.00,20%,2014,1,151.20
52560,30-01-2014,United States,2228,US15,Male,9.5,42-43,9,169.00,0%,2014,1,169.00
52560,30-01-2014,United States,2165,US3,Female,8,38-39,6,189.00,0%,2014,1,189.00
52561,30-01-2014,United States,2234,US12,Female,9.5,40,7.5,159.00,0%,2014,1,159.00
52562,30-01-2014,Germany,2191,GER2,Male,9.5,42-43,9,199.00,30%,2014,1,139.30
52563,30-01-2014,United States,2190,US15,Male,8.5,41-42,8,189.00,50%,2014,1,94.50
52564,31-01-2014,United States,2195,US15,Male,11.5,44-45,11,199.00,20%,2014,1,159.20
52564,31-01-2014,United States,2228,US15,Male,9.5,42-43,9,169.00,0%,2014,1,169.00
52565,31-01-2014,United States,2166,US12,Male,9,42,8.5,139.00,0%,2014,1,139.00
52566,31-01-2014,Germany,2165,GER1,Female,10.5,41,8.5,179.00,20%,2014,1,143.20
52567,31-01-2014,United States,2180,US15,Female,8,38-39,6,149.00,0%,2014,1,149.00
52567,31-01-2014,United States,2208,US15,Female,8,38-39,6,159.00,0%,2014,1,159.00
52567,31-01-2014,United States,2237,US10,Female,8,38-39,6,129.00,10%,2014,1,116.10
52568,31-01-2014,United States,2177,US15,Male,14,47,13.5,159.00,10%,2014,1,143.10
52569,31-01-2014,Canada,2147,CAN3,Female,8,38-39,6,169.00,10%,2014,1,152.10
52570,01-02-2014,United States,2193,US15,Male,10.5,43-44,10,199.00,0%,2014,2,199.00
52570,01-02-2014,United States,2195,US15,Male,11.5,44-45,11,199.00,20%,2014,2,159.20
52571,01-02-2014,Germany,2212,GER2,Female,10.5,41,8.5,199.00,0%,2014,2,199.00
52572,01-02-2014,United States,2211,US15,Female,8,38-39,6,169.00,0%,2014,2,169.00
52572,01-02-2014,United States,2165,US3,Female,8,38-39,6,189.00,0%,2014,2,189.00
52573,01-02-2014,Germany,2214,GER3,Male,10.5,43-44,10,139.00,0%,2014,2,139.00
52574,01-02-2014,Canada,2211,CAN7,Female,8.5,39,6.5,149.00,0%,2014,2,149.00
52575,01-02-2014,Canada,2182,CAN2,Female,9,39-40,7,179.00,0%,2014,2,179.00
52576,01-02-2014,Canada,2214,CAN6,Female,8,38-39,6,189.00,10%,2014,2,170.10
52577,02-02-2014,United Kingdom,2222,UK4,Male,10.5,43-44,10,199.00,10%,2014,2,179.10
52578,02-02-2014,United States,2201,US15,Female,7.5,38,5.5,189.00,0%,2014,2,189.00
52579,02-02-2014,Germany,2181,GER2,Female,10.5,41,8.5,159.00,0%,2014,2,159.00
52580,02-02-2014,United States,2180,US15,Female,8,38-39,6,149.00,0%,2014,2,149.00
52580,02-02-2014,United States,2180,US15,Female,8,38-39,6,149.00,0%,2014,2,149.00
52580,02-02-2014,United States,2228,US15,Male,9.5,42-43,9,169.00,0%,2014,2,169.00
52581,02-02-2014,Germany,2147,GER1,Female,9,39-40,7,129.00,0%,2014,2,129.00
52582,02-02-2014,United Kingdom,2219,UK3,Male,9.5,42-43,9,189.00,10%,2014,2,170.10
52583,02-02-2014,Germany,2219,GER3,Male,10.5,43-44,10,179.00,30%,2014,2,125.30
52584,03-02-2014,United Kingdom,2211,UK5,Male,11.5,44-45,11,129.00,0%,2014,2,129.00
52585,03-02-2014,Germany,2212,GER3,Male,10,43,9.5,159.00,0%,2014,2,159.00
52586,03-02-2014,United States,2186,US12,Male,9.5,42-43,9,169.00,0%,2014,2,169.00
52587,03-02-2014,United Kingdom,2225,UK3,Male,8.5,41-42,8,149.00,50%,2014,2,74.50
52588,03-02-2014,Canada,2182,CAN2,Female,9,39-40,7,179.00,0%,2014,2,179.00
52589,03-02-2014,Canada,2195,CAN5,Male,10.5,43-44,10,179.00,0%,2014,2,179.00
52589,03-02-2014,Canada,2192,CAN3,Male,9,42,8.5,159.00,0%,2014,2,159.00
52590,03-02-2014,United Kingdom,2208,UK2,Male,10,43,9.5,179.00,0%,2014,2,179.00
52591,04-02-2014,United States,2186,US15,Female,7.5,38,5.5,179.00,0%,2014,2,179.00
52591,04-02-2014,United States,2237,US15,Female,9,39-40,7,139.00,30%,2014,2,97.30
52592,04-02-2014,United States,2217,US12,Female,8.5,39,6.5,189.00,30%,2014,2,132.30
52593,04-02-2014,United States,2196,US15,Female,9,39-40,7,169.00,0%,2014,2,169.00
52594,04-02-2014,United States,2222,US12,Male,10,43,9.5,139.00,10%,2014,2,125.10
52595,04-02-2014,Germany,2198,GER1,Male,10.5,43-44,10,189.00,0%,2014,2,189.00
52596,04-02-2014,United Kingdom,2219,UK3,Male,9.5,42-43,9,189.00,10%,2014,2,170.10
52597,04-02-2014,Canada,2151,CAN6,Male,10,43,9.5,159.00,0%,2014,2,159.00
52597,04-02-2014,Canada,2195,CAN5,Male,10.5,43-44,10,179.00,0%,2014,2,179.00
52598,05-02-2014,United States,2158,US14,Male,9.5,42-43,9,179.00,20%,2014,2,143.20
52599,05-02-2014,United States,2155,US2,Female,8.5,39,6.5,189.00,0%,2014,2,189.00
52600,05-02-2014,United States,2183,US15,Female,9,39-40,7,139.00,50%,2014,2,69.50
52601,05-02-2014,United States,2174,US12,Male,6,39,5.5,139.00,10%,2014,2,125.10
52602,05-02-2014,United Kingdom,2184,UK2,Female,8,38-39,6,179.00,0%,2014,2,179.00
52603,05-02-2014,Canada,2217,CAN5,Male,7,40,6.5,199.00,0%,2014,2,199.00
52603,05-02-2014,Canada,2151,CAN6,Male,10,43,9.5,159.00,0%,2014,2,159.00
52604,06-02-2014,United States,2152,US15,Female,8,38-39,6,139.00,0%,2014,2,139.00
52605,06-02-2014,United States,2150,US9,Male,9.5,42-43,9,189.00,0%,2014,2,189.00
52606,06-02-2014,United Kingdom,2156,UK5,Female,8,38-39,6,169.00,10%,2014,2,152.10
52606,06-02-2014,United Kingdom,2167,UK2,Female,8.5,39,6.5,149.00,0%,2014,2,149.00
52607,06-02-2014,Germany,2150,GER3,Female,7,37-38,5,179.00,30%,2014,2,125.30
52608,07-02-2014,United States,2199,US3,Female,8,38-39,6,169.00,10%,2014,2,152.10
52609,07-02-2014,United States,2231,US5,Male,10,43,9.5,159.00,10%,2014,2,143.10
52610,07-02-2014,United States,2217,US3,Female,9.5,40,7.5,139.00,0%,2014,2,139.00
52611,07-02-2014,Canada,2192,CAN3,Male,9,42,8.5,159.00,0%,2014,2,159.00
52612,08-02-2014,United States,2231,US15,Male,11,44,10.5,189.00,0%,2014,2,189.00
52613,08-02-2014,United Kingdom,2201,UK5,Male,9,42,8.5,199.00,0%,2014,2,199.00
52614,08-02-2014,United States,2158,US14,Male,9.5,42-43,9,179.00,20%,2014,2,143.20
52615,08-02-2014,Canada,2195,CAN5,Male,10.5,43-44,10,179.00,0%,2014,2,179.00
52616,09-02-2014,United States,2224,US3,Female,9.5,40,7.5,169.00,0%,2014,2,169.00
52617,09-02-2014,Canada,2207,CAN2,Male,10.5,43-44,10,159.00,0%,2014,2,159.00
52618,09-02-2014,United Kingdom,2221,UK5,Male,10.5,43-44,10,139.00,0%,2014,2,139.00
52619,09-02-2014,United States,2150,US9,Male,9.5,42-43,9,189.00,0%,2014,2,189.00
52620,09-02-2014,Germany,2152,GER2,Male,9,42,8.5,149.00,0%,2014,2,149.00
52621,09-02-2014,United States,2229,US14,Male,9,42,8.5,129.00,0%,2014,2,129.00
52622,09-02-2014,Germany,2210,GER1,Female,9.5,40,7.5,129.00,0%,2014,2,129.00
52623,10-02-2014,United States,2217,US3,Female,9.5,40,7.5,139.00,0%,2014,2,139.00
52624,10-02-2014,Germany,2150,GER3,Female,7,37-38,5,179.00,30%,2014,2,125.30
52625,10-02-2014,United Kingdom,2172,UK3,Male,8.5,41-42,8,179.00,0%,2014,2,179.00
52626,10-02-2014,United States,2210,US14,Male,9.5,42-43,9,159.00,0%,2014,2,159.00
